city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
深圳,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/4874725.html,1-3年,全职,20k-40k,数据分析-创新工作,本科
,,,,,,,,,
上海,教育,上海风创信息咨询有限公司,2000人以上,https://www.lagou.com/jobs/4821030.html,3-5年,全职,20k-30k,数据分析师,本科
,,,,,,,,,
珠海,移动互联网,北京金山软件有限公司,2000人以上,https://www.lagou.com/jobs/4029391.html,3-5年,全职,13k-26k,数据分析师,大专
,,,,,,,,,
北京,"移动互联网,文化娱乐",北京车之家信息技术有限公司,2000人以上,https://www.lagou.com/jobs/4999343.html,3-5年,全职,20k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,生活服务",北京花生便利科技有限公司,150-500人,https://www.lagou.com/jobs/4286887.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京小度信息科技有限公司,2000人以上,https://www.lagou.com/jobs/3753766.html,1-3年,全职,10k-20k,数据分析,本科
,,,,,,,,,
北京,数据服务,精硕科技（北京）股份有限公司,500-2000人,https://www.lagou.com/jobs/5075722.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,金融,北京弘合柏基金融信息服务有限责任公司,2000人以上,https://www.lagou.com/jobs/4685957.html,3-5年,全职,15k-30k,数据分析师,本科
,,,,,,,,,
北京,"电子商务,数据服务",北京京东世纪贸易有限公司,2000人以上,https://www.lagou.com/jobs/2135933.html,3-5年,全职,8k-10k,数据分析,本科
,,,,,,,,,
杭州,"移动互联网,硬件",北京伊电园网络科技有限公司,500-2000人,https://www.lagou.com/jobs/3759443.html,5-10年,全职,15k-25k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,金融",北京理房通支付科技有限公司,150-500人,https://www.lagou.com/jobs/4893568.html,3-5年,全职,14k-25k,数据分析,本科
,,,,,,,,,
北京,金融,普信恒业科技发展（北京）有限公司,2000人以上,https://www.lagou.com/jobs/4973641.html,1-3年,全职,6k-9k,数据分析,本科
,,,,,,,,,
上海,O2O,达疆网络科技（上海）有限公司,2000人以上,https://www.lagou.com/jobs/3290614.html,3-5年,全职,15k-25k,数据分析师（中高级）,本科
,,,,,,,,,
海口,"移动互联网,电子商务",上海网达软件股份有限公司,500-2000人,https://www.lagou.com/jobs/4598823.html,不限,全职,4k-7k,海南分省--数据分析,不限
,,,,,,,,,
北京,"移动互联网,O2O",北京维康恒美信息技术有限公司,150-500人,https://www.lagou.com/jobs/4852927.html,3-5年,全职,15k-25k,数据分析,本科
,,,,,,,,,
深圳,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/4890946.html,1-3年,全职,20k-40k,数据分析-创新工具,本科
,,,,,,,,,
北京,"移动互联网,O2O",北京小度信息科技有限公司,2000人以上,https://www.lagou.com/jobs/4358906.html,3-5年,全职,10k-20k,数据分析师,本科
,,,,,,,,,
南京,移动互联网,北京阿博茨科技有限公司,150-500人,https://www.lagou.com/jobs/4876862.html,3-5年,全职,6k-12k,数据分析,本科
,,,,,,,,,
成都,教育,成都娄外科技有限公司,50-150人,https://www.lagou.com/jobs/4216714.html,不限,全职,10k-20k,数据分析师,本科
,,,,,,,,,
北京,移动互联网,北京达佳互联信息技术有限公司,500-2000人,https://www.lagou.com/jobs/5020589.html,3-5年,全职,20k-40k,数据分析师,本科
,,,,,,,,,
北京,数据服务,普强信息技术（北京）有限公司,150-500人,https://www.lagou.com/jobs/4160614.html,应届毕业生,全职,6k-9k,数据分析,本科
,,,,,,,,,
上海,金融,上海前隆信息科技有限公司,500-2000人,https://www.lagou.com/jobs/3650471.html,1-3年,全职,15k-25k,数据分析师,本科
,,,,,,,,,
杭州,移动互联网,连连银通电子支付有限公司,500-2000人,https://www.lagou.com/jobs/4974623.html,3-5年,全职,15k-25k,数据分析师 (MJ000108),大专
,,,,,,,,,
